"exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag","SNR","n_abundance"
303.050506899969,16903.2393767806,5.9952,"C16H6N4O3","N4O3","CHNO",16,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043230447809,303.05126654006,-2.5150045224911,2.52,303,302.712117996637,0.28788200336254,16,0.1875,0.375,13,23.2341530836846,23,1,34,0.2,0,0,0,0,0,0,0,0,0,"Ambiguous",22.4168417266844,0.0015741184132218
303.050506899969,16903.2393767806,5.9952,"C15H10O7","O7","CHO",15,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043230447809,303.04992912726,1.91288084355226,1.91,303,302.712117996637,0.28788200336254,11,0.466666666666667,0.666666666666667,4,23.2340502057769,22,0.9,32,0.3,0,0,0,0,0,0,0,0,0,"Ambiguous",22.4168417266844,0.0015741184132218
303.050564349812,757820.941920135,5.13733333333333,"C16H6N4O3","N4O3","CHNO",16,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043287897652,303.05126654006,-2.32480003969337,2.32,303,302.712175382331,0.287824617668662,16,0.1875,0.375,13,23.2341530836846,23,1,34,0.2,0,0,0,0,0,0,0,0,0,"Ambiguous",1005.01162726988,0.0705722655883474
303.050564349812,757820.941920135,5.13733333333333,"C15H10O7","O7","CHO",15,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043287897652,303.04992912726,2.10308448414845,2.1,303,302.712175382331,0.287824617668662,11,0.466666666666667,0.666666666666667,4,23.2340502057769,22,0.9,32,0.3,0,0,0,0,0,0,0,0,0,"Ambiguous",1005.01162726988,0.0705722655883474
303.050564349812,757820.941920135,5.13733333333333,"C7H16N2O7P2","N2O7P2","CHNOP",7,16,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043287897652,303.05055031346,0.0464713266600026,0.05,303,302.712175382331,0.287824617668662,2,1,2.28571428571429,-5,23.2340979893308,18,0.8,16,1,0,0,0,0,0,0,0,0,0,"Ambiguous",1005.01162726988,0.0705722655883474
303.050935785507,327501.458038229,4.55015,"C16H6N4O3","N4O3","CHNO",16,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043659333347,303.05126654006,-1.09505544158462,1.1,303,302.712546403278,0.287453596722116,16,0.1875,0.375,13,23.2341530836846,23,1,34,0.2,0,0,0,0,0,0,0,0,0,"Ambiguous",434.327893396942,0.0304986555513805
303.050935785507,327501.458038229,4.55015,"C7H16N2O7P2","N2O7P2","CHNOP",7,16,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043659333347,303.05055031346,1.27621300871738,1.28,303,302.712546403278,0.287453596722116,2,1,2.28571428571429,-5,23.2340979893308,18,0.8,16,1,0,0,0,0,0,0,0,0,0,"Ambiguous",434.327893396942,0.0304986555513805
321.206599417168,31650.5263289749,7.5725,"C19H28O4","O4","CHO",19,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,320.199322965008,321.20603583456,1.76009931212858,1.76,321,320.847937258732,0.152062741267571,6,0.210526315789474,1.47368421052632,2,24.6306737986462,23,0.9,40,0.7,0,0,0,0,0,0,0,0,0,"Ambiguous",41.9744892365135,0.00294746321530766
321.206599417168,31650.5263289749,7.5725,"C20H24N4","N4","CHN",20,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,320.199322965008,321.20737324736,-2.41671401660688,2.42,321,320.847937258732,0.152062741267571,11,0,1.2,11,24.6307766765538,24,1,42,0.6,0,0,0,0,0,0,0,0,0,"Ambiguous",41.9744892365135,0.00294746321530766
325.075653089634,4820.39500354911,6.17416666666667,"C15H18O4P2","O4P2","CHOP",15,18,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,324.068376637474,325.07530849556,1.063337550283,1.06,325,324.712670711303,0.287329288697151,8,0.266666666666667,1.2,4,24.9283101571846,21,0.8,32,0.6,0,0,0,0,0,0,0,0,0,"Ambiguous",6.39274102708955,0.000448900495635897
325.075653089634,4820.39500354911,6.17416666666667,"C11H16O11","O11","CHO",11,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,324.068376637474,325.07653780786,-2.73003566539109,2.73,325,324.712670711303,0.287329288697151,4,1,1.45454545454545,-7,24.9284047196692,22,0.9,24,0.7,0,0,0,0,0,0,0,0,0,"Ambiguous",6.39274102708955,0.000448900495635897
328.13962358599,65215.2685698251,4.25918333333333,"C16H17N5O3","N5O3","CHNO",16,17,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,327.13234713383,328.14041589836,-2.42199335147512,2.42,328,327.773219950831,0.226780049169179,11,0.1875,1.0625,8,25.1640876497077,24,1,34,0.5,0,0,0,0,0,0,0,0,0,"Ambiguous",86.4875850779926,0.00607318826827847
