"abundance","exp_mass","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag"
91489.7155587752,163.039681163999,4.43551666666667,"C9H8O3","O3","CHO",9,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164.046957616159,163.04006766994,-2.35606893658337,2.36,163,162.857629599482,0.142370400517564,6,0.333333333333333,0.888888888888889,3,12.6190264709308,12,1,20,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
435681.330077513,163.039721410387,3.22236666666667,"C9H8O3","O3","CHO",9,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164.046997862547,163.04006766994,-2.11073385986795,2.11,163,162.857669800931,0.14233019906905,6,0.333333333333333,0.888888888888889,3,12.6190264709308,12,1,20,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
86442.3206933715,163.039851065951,1.87438333333333,"C9H8O3","O3","CHO",9,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164.047127518111,163.04006766994,-1.32037660306165,1.32,163,162.85779931172,0.142200688279587,6,0.333333333333333,0.888888888888889,3,12.6190264709308,12,1,20,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
6428.61805782138,163.076026176445,3.78045,"C10H12O2","O2","CHO",10,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164.083302628605,163.07645317524,-2.60232935445742,2.6,163,162.893934028763,0.106065971237172,5,0.2,1.2,3,12.6218253559538,12,1,22,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
13141.3734698954,163.07605140901,3.5045,"C10H12O2","O2","CHO",10,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164.08332786117,163.07645317524,-2.44854998515504,2.45,163,162.893959233153,0.106040766847059,5,0.2,1.2,3,12.6218253559538,12,1,22,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
10206.471564346,163.076060355117,3.99205,"C10H12O2","O2","CHO",10,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164.083336807277,163.07645317524,-2.39402812408911,2.39,163,162.893968169271,0.106031830729364,5,0.2,1.2,3,12.6218253559538,12,1,22,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
19290.1325419303,163.07632552668,8.58288333333333,"C10H12O2","O2","CHO",10,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164.08360197884,163.07645317524,-0.777948304831771,0.78,163,162.894233044741,0.105766955259327,5,0.2,1.2,3,12.6218253559538,12,1,22,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
27436.3456791975,163.112362032038,5.80121666666667,"C11H16O","O","CHO",11,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164.119638484198,163.11283868054,-2.90427462797054,2.9,163,162.930229311415,0.0697706885851233,4,0.0909090909090909,1.45454545454545,3,12.6246242409769,12,1,24,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous"
8373.64274884815,163.112383730614,7.5637,"C11H16O","O","CHO",11,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164.119660182774,163.11283868054,-2.77206232019059,2.77,163,162.930250985762,0.0697490142379422,4,0.0909090909090909,1.45454545454545,3,12.6246242409769,12,1,24,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous"
306287.371542482,165.055482229755,3.49566666666667,"C9H10O3","O3","CHO",9,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,166.062758681915,165.05571773374,-1.41816254818006,1.42,165,164.87117980376,0.128820196239928,5,0.333333333333333,1.11111111111111,2,12.7740764758385,12,0.9,20,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
